Id,sales
111_11_74,-3.106076235765705
111_11_337,12.174463184343235
111_12_423,17.11519202957636
111_12_432,17.489073931906603
111_21_581,23.471420517665713
111_21_611,25.303133312621057
111_21_631,26.337698697897054
111_21_659,28.070899138597603
111_21_743,32.99508114314346
111_21_797,36.225113770494666
111_21_868,40.23092649643712
111_21_904,42.43609035549408
111_21_926,43.58072923378053
111_21_972,46.429650872828255
111_21_973,46.439598826816386
111_21_1054,51.251934494338855
111_22_1135,55.57679492321951
111_22_1173,57.70361304566195
111_22_1190,58.885493102587986
111_22_1196,59.15268899794924
111_22_1228,60.81801070096827
111_22_1240,61.714725474550335
111_22_1242,61.90681002180133
111_22_1275,63.749503655830495
111_22_1322,66.50470072980258
111_22_1328,66.92453688997706
111_22_1365,68.92562282515676
111_22_1424,72.48406459246539
111_22_1472,75.3946788260255
111_22_1508,77.44250787197666
111_22_1542,78.76936378326124
111_22_1548,79.78735644556991
111_22_1599,82.74377500314846
111_31_1629,81.97773657754713
111_31_1672,84.45063230814101
111_31_1694,85.74928013453058
111_31_1727,87.67479909683173
111_31_1753,89.20793178058062
111_33_2294,120.19181248394032
111_33_2332,122.45213640889301
111_33_2492,131.84816239014245
111_33_2768,147.94417037189652
111_33_2794,149.46499560735685
111_33_2818,150.81336168608038
111_33_2853,152.9236472534069
111_33_2932,157.61488600066602
111_33_2935,157.89445522922318
111_33_3004,161.8449271777847
111_33_3008,162.0967089894955
111_33_3021,162.85545843853802
112_11_74,-3.1133088232701556
112_11_337,12.167230596838783
112_12_423,17.107959442071905
112_12_432,17.48184134440215
112_21_581,23.46418793016126
112_21_611,25.295900725116603
112_21_631,26.330466110392603
112_21_659,28.063666551093156
112_21_743,32.98784855563901
112_21_797,36.21788118299022
112_21_868,40.223693908932674
112_21_904,42.42885776798963
112_21_926,43.573496646276084
112_21_972,46.42241828532381
112_21_973,46.43236623931194
112_21_1054,51.24470190683441
112_22_1135,55.56956233571506
112_22_1173,57.696380458157506
112_22_1190,58.87826051508354
112_22_1196,59.14545641044478
112_22_1228,60.81077811346381
112_22_1240,61.70749288704589
112_22_1242,61.89957743429688
112_22_1275,63.74227106832605
112_22_1322,66.49746814229813
112_22_1328,66.91730430247262
112_22_1365,68.9183902376523
112_22_1424,72.47683200496094
112_22_1472,75.38744623852104
112_22_1508,77.43527528447221
112_22_1542,78.7621311957568
112_22_1548,79.78012385806547
112_22_1599,82.73654241564401
112_31_1629,81.97050399004269
112_31_1672,84.44339972063656
112_31_1694,85.74204754702613
112_31_1727,87.66756650932729
112_31_1753,89.20069919307618
112_33_2294,120.18457989643588
112_33_2332,122.44490382138856
112_33_2492,131.84092980263802
112_33_2768,147.93693778439206
112_33_2794,149.4577630198524
112_33_2818,150.8061290985759
112_33_2853,152.91641466590244
112_33_2932,157.60765341316156
112_33_2935,157.88722264171875
112_33_3004,161.83769459028025
112_33_3008,162.08947640199105
112_33_3021,162.84822585103356
113_11_74,-3.120541410774607
113_11_337,12.159998009334332
113_12_423,17.100726854567455
113_12_432,17.4746087568977
113_21_581,23.456955342656805
113_21_611,25.28866813761215
113_21_631,26.323233522888145
113_21_659,28.0564339635887
113_21_743,32.98061596813455
113_21_797,36.21064859548577
113_21_868,40.21646132142823
113_21_904,42.42162518048519
113_21_926,43.56626405877162
113_21_972,46.415185697819346
113_21_973,46.42513365180748
113_21_1054,51.237469319329946
113_22_1135,55.5623297482106
113_22_1173,57.68914787065306
113_22_1190,58.87102792757909
113_22_1196,59.13822382294033
113_22_1228,60.803545525959365
113_22_1240,61.745084812049946
113_22_1242,61.89234484679242
113_22_1275,63.768301854574446
113_22_1322,66.49023555479367
113_22_1328,66.92171389578166
113_22_1365,68.91115765014786
113_22_1424,72.4695994174565
113_22_1472,75.3802136510166
113_22_1508,77.42804269696776
113_22_1542,78.75489860825235
113_22_1548,79.77289127056102
113_22_1599,82.72930982813956
113_31_1629,81.96327140253824
113_31_1672,84.43616713313212
113_31_1694,85.73481495952167
113_31_1727,87.66831713152352
113_31_1753,89.19346660557173
113_33_2294,120.17734730893143
113_33_2332,122.4376712338841
113_33_2492,131.83369721513355
113_33_2768,147.92970519688762
113_33_2794,149.45053043234793
113_33_2818,150.79889651107146
113_33_2853,152.909182078398
113_33_2932,157.60042082565712
113_33_2935,157.8799900542143
113_33_3004,161.8304620027758
113_33_3008,162.0822438144866
113_33_3021,162.84099326352913
114_11_74,-3.1277739982790576
114_11_337,12.152765421829884
114_12_423,17.093494267063008
114_12_432,17.46737616939325
114_21_581,23.449722755152358
114_21_611,25.2814355501077
114_21_631,26.3160009353837
114_21_659,28.04920137608425
114_21_743,32.9733833806301
114_21_797,36.20341600798131
114_21_868,40.209228733923766
114_21_904,42.414392592980725
114_21_926,43.559031471267176
114_21_972,46.4079531103149
114_21_973,46.41790106430303
114_21_1054,51.2302367318255
114_22_1135,55.555097160706154
114_22_1173,57.68191528314861
114_22_1190,58.86379534007463
114_22_1196,59.130991235435886
114_22_1228,60.79631293845492
114_22_1240,61.69302771203698
114_22_1242,61.88511225928797
114_22_1275,63.72780589331714
114_22_1322,66.48300296728922
114_22_1328,66.90283912746372
114_22_1365,68.90392506264341
114_22_1424,72.46236682995203
114_22_1472,75.37298106351214
114_22_1508,77.42081010946332
114_22_1542,78.7476660207479
114_22_1548,79.76565868305657
114_22_1599,82.72207724063512
114_31_1629,81.95603881503378
114_31_1672,84.42893454562765
114_31_1694,85.72758237201722
114_31_1727,87.6531013343184
114_31_1753,89.18623401806728
114_33_2294,120.17011472142698
114_33_2332,122.43043864637966
114_33_2492,131.82646462762912
114_33_2768,147.92247260938316
114_33_2794,149.4432978448435
114_33_2818,150.791663923567
114_33_2853,152.90194949089354
114_33_2932,157.59318823815266
114_33_2935,157.87275746670986
114_33_3004,161.82322941527136
114_33_3008,162.07501122698216
114_33_3021,162.83376067602467
221_11_74,-3.9079599870815955
221_11_337,11.383888980103313
221_12_423,16.313308278260465
221_12_432,16.68719018059071
221_21_581,22.66986940008735
221_21_611,24.501249561305166
221_21_631,25.53581494658116
221_21_659,27.269015387281712
221_21_743,32.19319739182757
221_21_797,35.42323001917878
221_21_868,39.42904274512124
221_21_904,41.63753294155348
